course_name	adj_driving_accuracy	adj_driving_accuracy_rank	adj_driving_distance	adj_driving_distance_rank	adj_gir	adj_gir_rank	adj_ob	adj_ob_rank	adj_other_pen	adj_other_pen_rank	adj_par_3_score	adj_par_3_score_rank	adj_par_4_score	adj_par_4_score_rank	adj_par_5_score	adj_par_5_score_rank	adj_penalties	adj_penalties_rank	adj_score_to_par	adj_score_to_par_rank	adj_sd_distance	adj_sd_distance_rank	app_sg	app_sg_rank	arg_bunker_sg	arg_bunker_sg_rank	arg_fairway_sg	arg_fairway_sg_rank	arg_rough_sg	arg_rough_sg_rank	arg_sg	arg_sg_rank	course_num	driving_accuracy	driving_accuracy_rank	driving_distance	driving_distance_rank	fw_diff	fw_diff_rank	fw_diff_to	fw_diff_to_rank	fw_width	fw_width_rank	gir	gir_rank	greater_150_fw_sg	greater_150_fw_sg_rank	greater_150_other_sg	greater_150_other_sg_rank	greater_150_rgh_sg	greater_150_rgh_sg_rank	greater_150_sg	greater_150_sg_rank	greater_15_sg	greater_15_sg_rank	greater_5_less_15_sg	greater_5_less_15_sg_rank	int_accuracy	int_accuracy_rank	less_150_fw_sg	less_150_fw_sg_rank	less_150_other_sg	less_150_other_sg_rank	less_150_rgh_sg	less_150_rgh_sg_rank	less_150_sg	less_150_sg_rank	less_5_ft_sg	less_5_ft_sg_rank	miss_fw_pen_frac	miss_fw_pen_frac_rank	non_rgh_diff	non_rgh_diff_rank	ob_balls	ob_balls_rank	other_pen	other_pen_rank	ott_sg	ott_sg_rank	par	par_3_score	par_3_score_rank	par_4_score	par_4_score_rank	par_5_score	par_5_score_rank	par_rank	penalties	penalties_rank	putt_sg	putt_sg_rank	rgh_diff	rgh_diff_rank	score_to_par	score_to_par_rank	sd_distance	sd_distance_rank	yardage	yardage_3	yardage_3_rank	yardage_4_5	yardage_4_5_rank	yardage_rank	
"Torrey Pines Golf Course (South Course)"	0.5310117019045129	15.0	288.8852083271004	49.0	0.6133648864208786	29.0	0.01807592834298871	70.0	0.1744170767509426	66.0	0.09220812071099613	41.0	0.1746805795339111	10.0	-0.2447215712955828	26.0	0.19249300509393139	70.0	1.129703619863739	18.0	15.63284769551492	86.0	0.0029302177262053707	47.0	0.0009945188912219727	51.0	0.026716716775004246	74.0	-0.007057728741476754	45.0	0.0074921717433782216	57.0	4	0.5967867402795556	76.0	290.58845872580395	35.0	0.34423029515123316	47.0	0.3309842451759911	48.0	26.642896653072654	5.0	0.6195254681249318	63.0	0.024308881721795107	36.0	0.011471322896470033	29.0	-0.04932960322458105	71.0	0.006845722700495789	47.0	-0.008722645887157746	26.0	-0.04756448905496852	1.0	0.07327675873771762	14.0	-0.004038126986896441	44.0	0.008456130556418697	43.0	-0.01927058033944748	55.0	-0.0058766500356835	40.0	-0.012487818788500544	5.0	0.017081637514445514	69.0	0.3462379552309056	70.0	0.02068001821174332	62.0	0.17790583517403719	64.0	-0.026676220577638243	20.0	72.0	0.0818387396219191	34.0	0.1643079141890466	8.0	-0.25508719575575883	22.0	2.0	0.1985858533857806	69.0	-0.020114954406767624	4.0	0.3139345875735823	32.0	0.9436205932458469	15.0	15.47044564801474	87.0	7584.119243969579	193.7851856402136	36.0	486.34987571501534	5.0	3.0	
"Pebble Beach Golf Links"	0.6940046445077022	82.0	272.23276127055345	2.0	0.6568246903502353	54.0	0.08654615998640036	17.0	0.25331160399829566	50.0	0.05497098559648347	54.0	0.030504398207801264	58.0	-0.2839636591417348	39.0	0.3398577639846959	47.0	-0.6109267121029923	57.0	17.842217855542668	55.0	-0.03964975161830976	12.0	-0.0226494474694168	32.0	0.03832125352608976	85.0	0.04782289322132113	73.0	0.02737658017558426	76.0	5	0.7361737238491303	7.0	270.9809045362433	89.0	0.3289908823845623	61.0	0.3028464464390395	67.0	40.62235228786102	80.0	0.6539586644656623	46.0	-0.053583203825144886	83.0	-0.026453187740952032	66.0	0.006986444073250204	43.0	-0.04414415071629147	12.0	-0.0064540546306632845	29.0	-0.03871000023358765	2.0	0.044982145914936475	63.0	-0.05402110267085135	81.0	-0.015887154433999497	61.0	0.059090828256953144	18.0	-0.033752192110477246	22.0	-0.011342011788808212	6.0	0.04928308155554258	27.0	0.4204049682497132	37.0	0.08807885989205294	13.0	0.2575529280255937	50.0	-0.02534172875591493	21.0	72.0	0.05791955387796675	50.0	0.03345296648928452	51.0	-0.2810150908602515	34.0	2.0	0.3456317879176466	45.0	-0.01709655430745618	5.0	0.16569175619931575	79.0	-0.5578524830362943	49.0	18.008149292106758	54.0	6887.912646219296	170.6481107869633	89.0	443.20858361375633	84.0	86.0	
"Waialae Country Club"	0.5655126316828074	27.0	290.96164302603546	59.0	0.695195662976839	66.0	0.04803904151296208	41.0	0.1887253455098103	63.0	0.033260822456499174	67.0	-0.004053306414641578	68.0	-0.6552489464258395	90.0	0.23676438702277253	63.0	-1.2260942800013808	71.0	21.06711384384269	11.0	0.03464824767721508	76.0	0.04527436777104772	82.0	0.033286412637988615	79.0	0.022749421312266548	62.0	0.03567001344148048	80.0	6	0.6268036624659913	65.0	289.34037281300397	43.0	0.31657896157158116	67.0	0.3202790323153165	53.0	34.908584678931774	59.0	0.6948524058924336	24.0	0.025972371276730834	34.0	0.08269849049348506	2.0	0.027104746512585175	27.0	0.029874578553781207	69.0	0.006962112425954514	68.0	0.003441198561952781	47.0	0.05651251916201324	41.0	0.04822029645918553	8.0	0.14238705273069238	2.0	0.004834108537460951	41.0	0.04414611521030698	83.0	-0.000146808383192246	33.0	0.036307095171224546	43.0	0.2611386512080902	86.0	0.046073669738947776	40.0	0.1845697432980761	63.0	0.012162277389438715	57.0	70.0	0.03361212002283387	62.0	-0.0037020088483068316	66.0	-0.6548976488595049	90.0	64.0	0.2306434130370239	63.0	0.002729093016807274	50.0	0.28813930682282474	41.0	-1.219770923807356	70.0	21.02834770531299	10.0	7022.5656763118095	185.02444566520722	69.0	448.61952903441863	76.0	74.0	
"Trump National Doral"	0.5197769651573431	12.0	284.9929169819595	32.0	0.5948321837748255	20.0	0.14800819316154695	4.0	0.7705951324769331	1.0	0.19177630491625702	5.0	0.17859235750640046	9.0	-0.16683191951034249	9.0	0.918603325638482	1.0	1.8857011166876598	10.0	18.974499797351847	34.0	-0.05402880960246395	5.0	-0.005543394681140049	43.0	0.017693941605912124	66.0	-0.02870726031093625	27.0	-0.008874358980723075	35.0	8	0.5712781451739886	83.0	288.89110422333954	46.0	0.36378430048987703	40.0	0.3464000981480805	42.0	35.853751973197205	64.0	0.622681540381509	58.0	-0.06635912356926904	86.0	-0.038401642861052146	73.0	-0.0518921866659411	74.0	-0.060178288429722754	4.0	0.006489659995844806	65.0	0.015368680682577601	68.0	0.050512761394905945	54.0	-0.0530886384813134	80.0	0.0409212306960951	24.0	-0.05804152976710015	66.0	-0.041446809405585705	12.0	0.0067868859146143195	85.0	0.0578414717894965	18.0	0.3176569020808105	80.0	0.14149346559596898	4.0	0.7475988033380571	2.0	-0.04562318509758295	8.0	72.0	0.1451854694798715	12.0	0.132001522070015	15.0	-0.2134227549467275	12.0	2.0	0.8890922689340259	1.0	0.008832460893004015	74.0	0.28620893182767204	42.0	1.0470660788327297	13.0	18.84755914637125	37.0	7469.442721795545	197.85871135674148	20.0	476.9965527295275	10.0	8.0	
"Arnold Palmer\u0027s Bay Hill Club \u0026 Lodge"	0.6081060878817399	46.0	281.2574760071206	18.0	0.5744825623347748	13.0	0.14276575345937373	5.0	0.5240574608880235	18.0	0.16477324299958868	12.0	0.15449191538777687	13.0	-0.28500350706450706	40.0	0.6668232143473973	14.0	1.063998097618093	19.0	18.350425624592273	44.0	-0.04740623608791024	9.0	0.01705194091652868	64.0	0.005408264478751623	49.0	-0.06244046676097135	11.0	-0.0016531123441745222	43.0	9	0.6817423426533739	32.0	282.38050016465587	72.0	0.4002934401022206	25.0	0.3878424338827213	25.0	34.3236226314723	53.0	0.5889041191516743	79.0	-0.04422479312866266	77.0	-0.012488630684806504	50.0	-0.08153251752862238	83.0	-0.047340822924717016	8.0	-0.006187882523052912	30.0	0.003925347773321168	50.0	0.06653425206613083	27.0	-0.04429398450485431	76.0	-0.0005950880580906758	51.0	-0.09537743692688308	83.0	-0.04777509132680077	11.0	0.0007757546726351314	45.0	0.05742881672757555	19.0	0.2828492712290191	84.0	0.13612153687259695	5.0	0.5060569997054253	18.0	-0.033467009005744036	15.0	72.0	0.13872675661757022	15.0	0.12844542900575825	16.0	-0.3110499934465255	41.0	2.0	0.6421785365780222	16.0	-0.0002820690228838009	39.0	0.3493352221217925	18.0	0.5951613427417621	28.0	18.34146281086336	45.0	7351.131495003089	208.57166145852324	4.0	465.2405647582271	39.0	22.0	
"TPC Sawgrass (THE PLAYERS Stadium Course)"	0.5996285082949018	41.0	281.52819242786546	19.0	0.6281866606389693	38.0	0.09551016182184531	12.0	0.6350472293894251	7.0	0.14511975894490237	20.0	0.1302295867810247	18.0	-0.3004547259234399	44.0	0.7305573912112702	8.0	0.6809559998960968	28.0	18.418133731020912	42.0	-0.04371599195846672	11.0	-0.03955682297088856	23.0	-0.029264607843637817	15.0	-0.05479460847537229	14.0	-0.03370633012192241	19.0	11	0.6584375313813355	45.0	282.53296997251556	71.0	0.4396029702277501	12.0	0.42728902657262346	12.0	30.736632725086743	26.0	0.6443969403457609	50.0	-0.02831111356539558	72.0	-0.007843968609716095	44.0	-0.04993389875159852	73.0	-0.02861874622906728	15.0	-0.014316236591672752	17.0	-0.004000053923278677	34.0	0.04882653337722602	57.0	-0.07423984646162803	86.0	-0.021955911563960942	63.0	-0.07587247788676749	75.0	-0.06749693474596336	5.0	-6.746736832367947e-05	37.0	0.05718684553418558	21.0	0.4043750948372278	47.0	0.08715843994930172	14.0	0.6116494161440831	10.0	-0.044647453142138	10.0	72.0	0.11536155018117752	21.0	0.1004713780172996	23.0	-0.33021293468716517	48.0	2.0	0.6988078560933848	10.0	-0.00484887482557674	26.0	0.3389762370507724	21.0	0.145308242149046	35.0	18.453384480648666	42.0	7122.233603365276	177.70561701726308	81.0	458.65965299447544	58.0	59.0	
"Harbour Town Golf Links"	0.6162075726247657	49.0	275.6482476223617	4.0	0.6005128914883575	22.0	0.09446953760251534	13.0	0.38063487567376414	33.0	0.12123584187030938	26.0	0.03582516297378066	53.0	-0.34211486671194724	53.0	0.4751044132762795	27.0	-0.1473244399430159	49.0	19.45216763891287	27.0	-0.02646894735300968	20.0	0.015822977795484357	61.0	0.0358405501393015	83.0	0.0798324956370727	84.0	0.04387087748068979	84.0	12	0.6400481174514205	57.0	274.5027272228183	87.0	0.25917485938750445	87.0	0.2547776734540389	86.0	32.47794891488615	39.0	0.6095334165104694	69.0	-0.0762951949009746	87.0	0.003838792518639611	37.0	0.06717126647817562	7.0	-0.04417044582513355	11.0	0.002717494370962809	48.0	-0.010589973717729736	25.0	0.01324547734007501	72.0	-0.01073714579952952	52.0	0.030323978054241852	28.0	0.0710035051052874	13.0	0.007859355024063082	58.0	-0.00013686835435024511	34.0	0.033940058460024916	46.0	0.35006233609193355	69.0	0.08693961866254547	15.0	0.36198043633037646	36.0	-0.053468572126783534	5.0	71.0	0.10303977546986462	29.0	0.01762909657333571	55.0	-0.3603109331123921	58.0	35.0	0.4489200549929221	29.0	-0.002014973164338673	33.0	0.13854605715620777	83.0	-0.47485363515102474	47.0	19.349306421685867	30.0	6970.77428403561	183.437787042241	71.0	445.7731928536875	79.0	82.0	
"Augusta National Golf Club"	0.709254394895648	88.0	293.5246411897392	66.0	0.5723493839881523	11.0	0.043443635074989696	43.0	0.4949132230475035	20.0	0.17850097188972	9.0	0.24142182682021776	3.0	-0.252575776735167	27.0	0.538356858122493	20.0	2.1158206038806022	7.0	21.428355733341228	8.0	-0.056969056925845224	1.0	-0.027755399301230124	28.0	-0.10504281067304783	2.0	-0.009291108005907038	44.0	-0.07983923719424255	2.0	14	0.7147554781804002	11.0	295.44082710174	22.0	0.3795560711310658	31.0	0.3619959656520553	35.0	51.72911606951985	88.0	0.5905751096155383	78.0	-0.062349582397802944	85.0	-0.001340145158078084	41.0	-0.000923462181900303	46.0	-0.04926730307423787	7.0	-0.052630730480214445	2.0	-0.03218076044699058	6.0	0.0	75.0	-0.08437595922534553	87.0	-0.009726890828813329	57.0	-0.06603424257185703	73.0	-0.0765223464450758	3.0	-0.003100180758323667	16.0	0.025434839982261023	54.0	0.41711159791200425	39.0	0.035783069034691	46.0	0.4743844504851398	20.0	0.013813491530039296	59.0	72.0	0.142929007550769	14.0	0.20588507018952476	3.0	-0.288147741074118	38.0	2.0	0.5101675195198307	21.0	-0.023873241570329627	2.0	0.2529150204974395	51.0	1.476547591145585	10.0	21.69895039645565	7.0	7470.297056425496	181.8515864502175	75.0	481.40448629599376	7.0	6.0	
"TPC Four Seasons Resort"	0.5711487467749637	31.0	284.9160051593983	31.0	0.6266662258170417	37.0	0.06851740137874064	28.0	0.34591932611648474	41.0	0.023707921194792	69.0	0.05788563290873569	43.0	-0.39731431341439905	67.0	0.41443672749522525	35.0	-0.005169347144802068	47.0	17.871184020814297	54.0	0.016340360647059734	63.0	0.0348367723220024	79.0	-0.026247191215565503	19.0	0.02632160010482573	65.0	-0.005736188541595084	41.0	19	0.620929553538249	67.0	284.11026218061033	64.0	0.358623302174981	42.0	0.35186266674705874	40.0	30.1846223050469	23.0	0.6215240788912287	60.0	0.02663673621217773	32.0	0.04064453929023743	10.0	0.012570775636478002	37.0	0.02505191899897127	66.0	0.0110927278278772	77.0	-0.001462767219439867	38.0	0.05577542425368514	44.0	-0.006750764838565532	51.0	0.004172838710368107	48.0	0.02088102596592051	34.0	0.0009515078032814999	47.0	-0.004976026608328945	9.0	0.06078584472516716	16.0	0.359502203995196	66.0	0.07253189644494011	22.0	0.3564412238325283	38.0	-0.013652344700652519	30.0	70.0	0.032365601387340535	63.0	0.06654331310128424	34.0	-0.388656633221851	62.0	64.0	0.42897312027746803	34.0	0.0001507780526407997	40.0	0.273310360318522	44.0	0.15066889632106997	34.0	18.010303933941866	53.0	6977.820791151154	182.61854263871797	74.0	446.13545938581564	78.0	81.0	
"Colonial Country Club"	0.5521643745656453	20.0	281.09215551393197	17.0	0.6140462044874291	32.0	0.025873077174753022	59.0	0.28002784536378195	48.0	0.08051415602655924	45.0	0.06421131123454525	41.0	-0.22883809405334649	20.0	0.30590092253853485	51.0	0.6349161708140869	31.0	19.39422110130401	29.0	-0.01528568388282146	27.0	0.04823093572561376	83.0	0.001778211599028712	43.0	0.031707994146307136	69.0	0.025955489572933966	75.0	21	0.6192551876993274	70.0	280.0690997829774	79.0	0.3641209604916617	39.0	0.35619457931470944	37.0	27.85154410070453	9.0	0.6209353486378064	61.0	0.0017823244974311397	53.0	0.018193755816137903	22.0	-0.045992962704482165	68.0	-0.007055013277974828	33.0	0.007208718029293078	69.0	0.0032013352924137755	46.0	0.05919601763167356	35.0	-0.010813026179010674	53.0	0.023266515776704216	31.0	-0.09401305130358002	82.0	-0.027503679010295806	26.0	0.0021543563837039606	62.0	0.01696944007419223	70.0	0.3371899904211488	74.0	0.020151583768063232	67.0	0.2658010043860385	48.0	-0.04523487785972579	9.0	70.0	0.06681459099830318	42.0	0.050511746206289156	42.0	-0.24253765908160263	20.0	64.0	0.28595258815410174	52.0	0.003875426949826915	55.0	0.3516201259990941	16.0	0.38832400030547626	32.0	19.30258124562581	31.0	7004.881602208278	193.34755424607832	37.0	445.47665217008444	81.0	77.0	
